time,open,high,low,close,Volume,Volume MA
1690816800,383.945,383.989,383.87,383.98,77240,45558.4
1690816860,383.984,383.984,383.57,383.84,96774,47716.15
1690816920,383.84,383.88,383.67,383.86,30126,47451.15
1690816980,383.866,383.88,383.74,383.7501,53918,48131.7
1690817040,383.76,383.77,383.62,383.6877,29159,47179.15
1690817100,383.6119,383.6119,383.36,383.4899,97901,49423.8
1690817160,383.51,383.5801,383.47,383.49,66023,51091.55
1690817220,383.49,383.53,383.35,383.5,37095,51181.7
1690817280,383.51,383.61,383.44,383.49,27325,50957.15
1690817340,383.5,383.66,383.5,383.595,31746,51823.05
1690817400,383.61,383.715,383.5311,383.6,79614,53994.45
1690817460,383.5926,383.6205,383.33,383.34,79331,56334.75
1690817520,383.33,383.33,382.855,382.99,236031,66173.05
1690817580,383,383.17,382.9,383.05,122175,70751.55
1690817640,383.05,383.26,383.05,383.21,63877,72363.85
1690817700,383.2,383.34,383.16,383.33,71637,72286.2
1690817760,383.32,383.5514,383.31,383.48,95742,74863.7
1690817820,383.5,383.56,383.3872,383.4,63918,74322.7
1690817880,383.405,383.53,383.35,383.485,72797,74804.55
1690817940,383.49,383.5,383.34,383.46,28067,73024.8
1690818000,383.47,383.59,383.38,383.584,48542,71589.9
1690818060,383.57,383.62,383.53,383.555,46616,69082
1690818120,383.525,383.5694,383.45,383.48,40849,69618.15
1690818180,383.47,383.47,383.35,383.41,85145,71179.5
1690818240,383.4063,383.54,383.3825,383.525,123233,75883.2
1690818300,383.53,383.5799,383.39,383.5489,53119,73644.1
1690818360,383.51,383.67,383.46,383.62,55859,73135.9
1690818420,383.63,383.74,383.63,383.72,89770,75769.65
1690818480,383.72,383.8304,383.715,383.76,27381,75772.45
1690818540,383.77,383.8,383.72,383.75,41602,76265.25
1690818600,383.7413,383.77,383.54,383.61,68310,75700.05
1690818660,383.6,383.6,383.36,383.43,59943,74730.65
1690818720,383.43,383.43,383.1,383.17,183314,72094.8
1690818780,383.16,383.19,383.0108,383.16,59988,68985.45
1690818840,383.1674,383.1674,383.03,383.07,29158,67249.5
1690818900,383.0501,383.36,383.0501,383.36,63139,66824.6
1690818960,383.34,383.53,383.33,383.46,69265,65500.75
1690819020,383.45,383.47,383.31,383.31,16205,63115.1
1690819080,383.32,383.42,383.21,383.3907,47136,61832.05
1690819140,383.3889,383.44,383.38,383.42,14567,61157.05
1690819200,383.435,383.5799,383.4,383.56,59899,61724.9
1690819260,383.56,383.64,383.51,383.5987,64469,62617.55
1690819320,383.58,383.7,383.58,383.61,31255,62137.85
1690819380,383.61,383.61,383.45,383.55,35882,59674.7
1690819440,383.54,383.62,383.54,383.61,39079,55467
1690819500,383.59,383.595,383.41,383.48,72366,56429.35
1690819560,383.49,383.575,383.45,383.555,30455,55159.15
1690819620,383.555,383.67,383.51,383.6099,37560,52548.65
1690819680,383.598,383.6011,383.37,383.436,38796,53119.4
1690819740,383.43,383.5899,383.37,383.5295,59456,54012.1
1690819800,383.55,383.55,383.33,383.37,23261,51759.65
1690819860,383.37,383.52,383.36,383.45,18505,49687.75
1690819920,383.45,383.58,383.45,383.47,55588,43301.45
1690819980,383.47,383.5,383.38,383.3812,72525,43928.3
1690820040,383.38,383.41,383.3,383.31,153211,50130.95
1690820100,383.31,383.34,383.125,383.34,113620,52655
1690820160,383.35,383.435,383.32,383.32,41908,51287.15
1690820220,383.31,383.44,383.28,383.405,21027,51528.25
1690820280,383.43,383.5381,383.41,383.5358,45918,51467.35
1690820340,383.5199,383.7,383.5,383.625,47024,53090.2
1690820400,383.63,383.73,383.59,383.63,35822,51886.35
1690820460,383.62,383.67,383.45,383.48,67061,52015.95
1690820520,383.4995,383.57,383.464,383.56,22256,51566
1690820580,383.57,383.69,383.55,383.64,66990,53121.4
1690820640,383.63,383.65,383.53,383.5901,55966,53965.75
